ticker symbol;isin;security name;currency;note;
;HU0000712872;"K&H Állampapír felelős befektetés kötvény alap ""normál"" sorozat";HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000712872.json
;HU0000718762;K&H Állampapír felelős befektetés kötvény alap F sorozat;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000718762.json
;HU0000732284;K&H aranykosár felelős befektetés nyíltvégű befektetési kötvényalap I sorozat;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000732284.json
;HU0000702337;K&H aranykosár felelős befektetés nyíltvégű befektetési kötvényalap;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000702337.json
;HU0000719356;MARKETPROG Bond Derivatív Kötvény Származtatott Részalap C sorozat;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000719356.json
;HU0000714688;MARKETPROG Bond Derivatív Kötvény Származtatott Részalap I sorozat;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000714688.json
;HU0000714548;MARKETPROG Bond Derivatív Kötvény Származtatott Részalap EUR sorozat;EUR;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000714548.json
;HU0000714555;MARKETPROG Bond Derivatív Kötvény Származtatott Részalap A sorozat;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000714555.json
;HU0000719364;MARKETPROG Bond Derivatív Kötvény Származtatott Részalap U sorozat;USD;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000719364.json
;HU0000730288;MARKETPROG Bond Derivatív Kötvény Származtatott Részalap D sorozat;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000730288.json
;HU0000715339;MBH Bázis Euró Rövid Kötvény Alap;EUR;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000715339.json
;HU0000702691;MBH Bázis Hazai Rövid Kötvény Alap A sorozat;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000702691.json
;HU0000715446;MBH Bázis Hazai Rövid Kötvény Alap I sorozat;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000715446.json
;HU0000702733;MBH Befektetési Kártya Kötvényalap;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000702733.json
;HU0000708052;MBH Bonitas Dollár Kötvény Alap;USD;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000708052.json
;HU0000707138;MBH Bonitas Euro Kötvény Alap;EUR;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000707138.json
;HU0000702725;MBH Bonitas Kötvényalap;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000702725.json
;HU0000711668;MBH Dollár Rövid Kötvény Alap A sorozat;USD;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000711668.json
;HU0000727656;MBH Dollár Rövid Kötvény Alap HUF sorozat;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000727656.json
;HU0000702170;OTP Dollár Rövid Kötvény Alap A sorozat;USD;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000702170.json
;HU0000732763;OTP Dollár Rövid Kötvény Alap I sorozat;USD;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000732763.json
;HU0000732771;OTP Euró Rövid Kötvény Alap I sorozat;EUR;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000732771.json
;HU0000702162;OTP Euró Rövid Kötvény Alap A sorozat;EUR;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000702162.json
;HU0000702873;OTP Optima Tőkegarantált Kötvény Alap A sorozat;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000702873.json
;HU0000713912;OTP Optima Tőkegarantált Kötvény Alap B sorozat;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000713912.json
;HU0000703491;OTP Tőkegarantált Rövid Kötvény Alap;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000703491.json
;HU0000733134;PRESTIGE Start Kötvény Származtatott Befektetési Alap C sorozat;USD;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000733134.json
;HU0000733126;PRESTIGE Start Kötvény Származtatott Befektetési Alap B sorozat;EUR;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000733126.json
;HU0000718242;PRESTIGE Start Kötvény Származtatott Befektetési Alap A sorozat;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000718242.json
;HU0000731351;Raiffeisen ESG Rövid Kötvény Alapok Alapja A sorozat;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000731351.json
;HU0000731369;Raiffeisen ESG Rövid Kötvény Alapok Alapja E sorozat;EUR;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000731369.json
;HU0000731377;Raiffeisen ESG Rövid Kötvény Alapok Alapja U sorozat;USD;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000731377.json
;HU0000708508;Raiffeisen Euró Prémium Rövid kötvény Alap;EUR;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000708508.json
;HU0000702758;Raiffeisen Kamat Prémium Rövid Kötvény Alap;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000702758.json
;HU0000725338;Reverse MAX Kötvény származtatott Alap B sorozat;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000725338.json
;HU0000719315;Reverse MAX Kötvény Származtatott Alap A sorozat;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000719315.json
;HU0000734918;SIFI Rövid Kötvény Alap A sorozat;HUF;JSON feed url: https://cdn.statically.io/gh/havasd/pp-data/main/bamosz/hu0000734918.json
